已添加为,顾客搜索词,关键词,目标竞价 (AUD),展示量,点击量,点击率,总成本 (AUD),CPC (AUD),购买量,销售额 (AUD),ACOS,ROAS,购买率
,somnifye pillow speaker for sleeping,pillow speaker,0.6,2,1,0.5000,0.56,0.56,1,35.99,0.0156,64.26785714285714,1.0000
,speaker under pillow,"keyword-group=""Keywords related to your product category""",0.6,1,1,1.0000,0.6,0.6,1,29.99,0.0200,49.983333333333334,1.0000
,spikmek pillow speaker,pillow speaker,0.6,1,1,1.0000,0.5,0.5,0,0,0,0,0
,ultra thin bluetooth pillow speaker,pillow speaker,0.6,1,1,1.0000,0.45,0.45,0,0,0,0,0
,under pillow bluetooth speaker,"keyword-group=""Keywords related to your product category""",0.6,3,1,0.3333,0.7,0.7,1,29.99,0.0233,42.84285714285714,1.0000
,under pillow sleep speaker,sleep speaker,0.6,1,1,1.0000,0.55,0.55,1,29.99,0.0183,54.52727272727272,1.0000
关键词: 词组匹配,under pillow speaker,pillow speaker,0.6,39,5,0.1282,2.81,0.56,0,0,0,0,0
关键词: 词组匹配,under pillow speaker,"keyword-group=""Keywords related to your product category""",0.6,79,15,0.1899,9.01,0.6,6,179.94,0.0501,19.971143174250834,0.4000
,under pillow speaker amazon australia,pillow speaker,0.6,1,1,1.0000,0.65,0.65,0,0,0,0,0
,under pillow speaker australia,"keyword-group=""Keywords related to your product category""",0.6,1,1,1.0000,0.49,0.49,0,0,0,0,0
关键词: 精准匹配,under pillow speaker bluetooth,under pillow speaker bluetooth,0.65,1872,42,0.0224,27.75,0.66,6,269.91,0.1028,9.726486486486486,0.1429
,under pillow speaker for sleeping,pillow speaker,0.6,3,1,0.3333,0.62,0.62,0,0,0,0,0
,under pillow speaker for sleeping,"keyword-group=""Keywords related to your product category""",0.6,5,1,0.2000,0.21,0.21,1,29.99,0.0070,142.8095238095238,1.0000
,under pillow speaker wireless,pillow speaker,0.6,11,1,0.0909,0.75,0.75,0,0,0,0,0
,under pillow speakers for sleeping,pillow speaker,0.6,2,1,0.5000,0.55,0.55,0,0,0,0,0
,🔥🔥s1 ultra-thin bluetooth pillow speaker with bluetooth 6.0 - bone conduction technology,pillow speaker,0.6,1,1,1.0000,0.29,0.29,0,0,0,0,0
